City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
60,Cape Town,-33.9258,18.4232,68.11,73,75,5.01,moderate rain,ZA,2021-12-04 20:13:41
61,Mamou,10.5,-12.0,74.44,30,55,3.09,broken clouds,GN,2021-12-04 20:13:41
62,Iqaluit,63.7506,-68.5145,4.73,78,90,27.63,light snow,CA,2021-12-04 20:13:41
63,Bud,39.447,-86.1758,53.58,50,100,7.76,overcast clouds,US,2021-12-04 20:13:41
64,Cabo San Lucas,22.8909,-109.9124,90.7,53,20,1.99,few clouds,MX,2021-12-04 20:09:26
65,Hilo,19.7297,-155.09,69.53,88,90,6.91,moderate rain,US,2021-12-04 20:05:10
66,Havoysund,70.9963,24.6622,16.68,87,97,11.54,overcast clouds,NO,2021-12-04 20:13:42
67,Guerrero Negro,27.9769,-114.0611,68.0,66,100,17.31,overcast clouds,MX,2021-12-04 20:13:42
68,Yarke Pole,45.608,34.3172,42.53,94,100,10.18,overcast clouds,UA,2021-12-04 20:13:42
69,Provideniya,64.3833,-173.3,14.23,87,94,3.09,overcast clouds,RU,2021-12-04 20:06:13
70,Faanui,-16.4833,-151.75,81.21,69,16,16.49,few clouds,PF,2021-12-04 20:06:12
71,Tucuma,-0.1833,-50.05,82.18,77,69,4.0,broken clouds,BR,2021-12-04 20:13:43
72,Chokurdakh,70.6333,147.9167,-40.63,100,61,3.85,broken clouds,RU,2021-12-04 20:03:59
73,Kayerkan,69.3497,87.7602,-31.49,66,98,5.57,overcast clouds,RU,2021-12-04 20:13:43
74,Russell,32.3502,-85.1999,73.0,60,1,5.75,clear sky,US,2021-12-04 20:13:43
75,Lebu,-37.6167,-73.65,59.59,68,0,21.0,clear sky,CL,2021-12-04 20:06:10
76,Lewisporte,49.2499,-55.0482,25.56,50,7,14.45,clear sky,CA,2021-12-04 20:13:44
77,Bredasdorp,-34.5322,20.0403,64.27,86,100,19.46,light rain,ZA,2021-12-04 20:13:44
78,Chuy,-33.6971,-53.4616,70.05,70,100,11.59,overcast clouds,UY,2021-12-04 20:13:44
79,Ayagoz,47.9714,80.4392,24.06,96,94,12.8,overcast clouds,KZ,2021-12-04 20:13:45
80,Luanda,-8.8368,13.2343,77.99,83,65,6.49,light rain,AO,2021-12-04 20:13:45
81,Makat,47.6469,53.3463,33.4,62,78,11.27,broken clouds,KZ,2021-12-04 20:13:45
82,Dingle,10.9995,122.6711,71.46,92,37,8.75,scattered clouds,PH,2021-12-04 20:09:37
83,Ponta Do Sol,32.6667,-17.1,65.03,67,96,9.33,overcast clouds,PT,2021-12-04 20:13:45
84,Bilibino,68.0546,166.4372,-39.87,100,78,4.43,broken clouds,RU,2021-12-04 20:13:46
85,Barrow,71.2906,-156.7887,12.22,85,90,14.97,overcast clouds,US,2021-12-04 20:13:46
86,Nangal,31.3667,76.3833,59.76,68,0,3.62,clear sky,IN,2021-12-04 20:13:46
87,Visnes,59.3556,5.2242,38.21,64,0,18.41,clear sky,NO,2021-12-04 20:13:47
88,Dikson,73.5069,80.5464,-21.96,99,100,7.56,overcast clouds,RU,2021-12-04 20:13:47
89,Souillac,-20.5167,57.5167,78.37,83,40,8.05,scattered clouds,MU,2021-12-04 20:13:47
90,Pitimbu,-7.4706,-34.8086,82.99,75,43,12.1,scattered clouds,BR,2021-12-04 20:13:47
91,Rio Gallegos,-51.6226,-69.2181,69.85,24,75,27.63,broken clouds,AR,2021-12-04 20:14:48
92,Thompson,55.7435,-97.8558,-5.64,77,75,6.91,broken clouds,CA,2021-12-04 20:02:04
